origin_time	origin_julday	origin_latitude	origin_longitude	origin_depth_km	approx_distance_km
2019-05-27T09:52:21.656000Z	147	58.8509	-152.3565	66.5	129.289
2019-05-27T09:57:20.278000Z	147	58.8559	-152.379	68.4	129.781
2019-06-04T05:18:04.737000Z	155	58.86	-152.2951	67.8	130.544
2019-05-27T10:34:32.460000Z	147	58.8669	-152.3599	65.5	131.059
2019-06-10T12:56:37.524000Z	161	58.644	-153.7858	89.0	131.133
2019-05-27T10:50:43.848000Z	147	58.8653	-152.2785	67.8	131.214
2019-06-01T09:21:26.348000Z	152	57.682	-154.6809	47.6	131.561
2019-06-20T03:53:03.652000Z	171	58.8131	-153.2033	63.8	132.002
2019-05-29T05:10:55.254000Z	149	58.8735	-152.3007	69.6	132.017
2019-06-16T15:06:06.543000Z	167	58.8721	-152.775	54.7	132.634
2019-05-24T22:47:28.461000Z	144	56.9514	-154.2147	43.7	133.34
2019-05-28T19:31:18.667000Z	148	58.8855	-152.2624	65.6	133.541
2019-05-17T07:33:38.914000Z	137	58.8902	-152.6539	71.6	133.89
2019-05-28T19:31:11.537000Z	148	58.892	-152.2565	63.4	134.294
2019-05-19T01:25:12.649000Z	139	56.9772	-154.2901	29.4	135.197
2019-05-30T05:02:04.623000Z	150	57.4516	-154.7012	45.9	135.848
2019-06-09T22:29:00.783000Z	160	58.4795	-154.2376	83.8	136.026
2019-06-22T14:01:44.821000Z	173	58.6431	-153.9725	82.4	137.804
2019-05-28T05:58:07.590000Z	148	58.0729	-154.6976	13.6	138.5
2019-05-17T11:18:22.675000Z	137	57.2222	-154.6133	10.4	138.577
2019-06-01T23:41:03.789000Z	152	58.0206	-154.7351	67.1	139.066
2019-06-03T00:33:50.986000Z	154	58.055	-154.7183	89.6	139.108
2019-06-07T13:25:39.549000Z	158	58.3179	-154.513	2.6	139.197
2019-05-31T16:42:36.586000Z	151	58.7466	-153.7819	83.6	140.349
2019-05-28T06:52:20.720000Z	148	58.4119	-154.4316	1.9	140.62
2019-06-02T16:24:10.261000Z	153	58.0045	-154.7751	70.4	140.934
2019-06-10T14:47:55.489000Z	161	56.7784	-154.1178	23.6	142.07
2019-06-22T01:30:27.893000Z	173	58.3811	-154.4999	6.1	142.112
2019-05-18T02:57:49.049000Z	138	58.6237	-154.1481	84.8	143.073
2019-05-29T23:25:36.238000Z	149	58.9722	-152.2322	74.3	143.322
2019-06-16T14:45:24.848000Z	167	58.0867	-154.7805	81.0	143.627
2019-05-24T16:23:40.041000Z	144	57.1062	-154.604	5.0	143.631
2019-05-28T06:23:54.106000Z	148	58.9803	-152.3517	13.4	143.698
2019-06-07T15:14:47.542000Z	158	58.0368	-154.8139	81.3	144.024
2019-05-24T05:29:24.608000Z	144	57.6905	-154.8959	62.3	144.362
2019-06-18T19:26:42.583000Z	169	58.9738	-152.8693	60.3	144.645
2019-06-18T07:40:48.950000Z	169	58.9706	-153.0206	69.8	145.973
2019-06-20T13:41:20.171000Z	171	58.8307	-153.7109	79.2	146.119
2019-06-17T02:52:09.491000Z	168	58.3029	-154.6808	1.4	147.11
2019-06-05T20:24:10.090000Z	156	57.5273	-154.9551	60.4	149.352
2019-06-10T12:00:28.860000Z	161	58.8728	-153.7017	14.8	149.928
2019-06-06T06:39:13.118000Z	157	58.7863	-153.9669	98.7	150.117
2019-06-12T05:20:24.317000Z	163	57.3608	-154.9082	47.0	150.342
2019-06-03T16:02:49.487000Z	154	58.2636	-154.7837	98.0	150.696
2019-05-25T22:29:03.141000Z	145	57.017	-154.6483	9.4	150.844
2019-06-11T04:37:55.737000Z	162	57.2647	-154.8657	10.2	151.077
2019-06-12T15:30:22.271000Z	163	57.7553	-155.039	83.0	152.922
2019-05-27T05:57:28.811000Z	147	57.82	-155.0466	84.1	153.739
2019-05-31T03:48:13.604000Z	151	58.2109	-154.9123	94.1	155.444
2019-06-10T06:28:44.337000Z	161	57.7374	-155.0854	66.2	155.644
2019-06-03T00:23:39.621000Z	154	58.3885	-154.7629	6.1	155.807
2019-05-24T00:36:05.401000Z	144	56.8647	-154.5633	9.1	156.024
2019-05-27T15:35:08.601000Z	147	57.8231	-155.0871	74.3	156.165
2019-06-13T22:16:53.201000Z	164	56.295	-152.7232	52.8	156.277
2019-06-13T23:23:59.879000Z	164	56.2935	-152.7164	47.8	156.404
2019-05-26T04:27:52.222000Z	146	58.2089	-154.9628	107.9	158.146
2019-06-06T02:41:44.320000Z	157	57.755	-155.1584	70.1	160.028
2019-06-02T11:55:37.490000Z	153	57.8231	-155.1621	66.5	160.61
2019-05-18T01:22:50.640000Z	138	58.2765	-154.9648	2.0	161.021
2019-06-17T12:58:58.819000Z	168	58.428	-154.8328	114.3	161.52
2019-05-23T22:18:44.180000Z	143	58.2806	-154.975	4.9	161.749
2019-06-06T22:10:20.992000Z	157	57.5687	-155.1838	63.9	162.38
2019-05-26T07:06:31.639000Z	146	57.0826	-154.9356	2.3	162.765
2019-06-13T07:45:51.360000Z	164	56.2286	-152.5957	7.5	163.107
2019-05-17T20:08:45.840000Z	137	58.4364	-154.8955	14.6	165.172
2019-05-25T00:56:50.994000Z	145	56.818	-154.7098	55.0	166.296
2019-06-15T04:11:55.046000Z	166	58.076	-155.2005	102.3	167.226
2019-06-04T23:25:36.475000Z	155	56.6847	-154.5533	16.2	168.41
2019-06-07T08:23:22.819000Z	158	58.2537	-155.1382	0.6	169.544
2019-06-07T16:26:57.235000Z	158	58.4602	-154.967	116.3	170.109
2019-05-26T02:52:55.295000Z	146	57.153	-155.1278	26.4	170.279
2019-06-19T22:57:23.354000Z	170	58.7755	-154.5212	113.9	170.325
2019-06-22T05:32:06.820000Z	173	56.7271	-154.6723	18.7	170.776
2019-06-03T12:11:24.663000Z	154	57.0247	-155.0412	56.5	171.363
2019-05-29T16:44:46.540000Z	149	58.8445	-154.4102	122.6	171.392
2019-05-28T23:19:47.698000Z	148	56.1523	-152.4343	36.5	171.456
2019-06-20T04:09:25.184000Z	171	57.3662	-155.2823	69.2	172.014
2019-06-04T10:08:41.471000Z	155	56.1397	-152.7428	35.9	173.607
2019-06-02T16:47:48.815000Z	153	56.9274	-154.9927	7.3	173.954
2019-06-08T19:31:39.549000Z	159	58.1692	-155.2882	1.9	174.92
2019-06-14T19:15:24.944000Z	165	56.1341	-152.9629	19.6	175.988
2019-06-18T17:59:28.691000Z	169	58.9528	-154.2968	120.9	176.398
2019-05-20T03:44:49.952000Z	140	58.1828	-155.3145	3.2	176.837
2019-06-12T19:36:49.851000Z	163	58.1792	-155.3168	5.0	176.851
2019-06-11T02:38:32.523000Z	162	58.7382	-154.7462	122.1	177.185
2019-06-12T22:50:14.321000Z	163	58.1671	-155.3579	5.0	178.793
2019-05-28T12:20:06.870000Z	148	56.7078	-154.8284	3.9	179.539
2019-06-03T08:36:53.357000Z	154	58.171	-155.3699	2.3	179.592
2019-05-29T17:11:21.380000Z	149	57.6203	-155.5153	69.0	181.646
2019-06-14T13:41:21.328000Z	165	59.0025	-154.3228	124.1	181.694
2019-06-02T06:31:52.597000Z	153	57.4749	-155.5058	8.4	182.868
2019-06-21T22:34:17.113000Z	172	58.9465	-154.5051	127.2	183.51
2019-06-13T03:38:33.837000Z	164	57.4007	-155.494	77.3	183.628
2019-06-09T01:36:03.460000Z	160	57.419	-155.5049	58.9	183.878
2019-05-28T16:33:42.940000Z	148	58.1436	-155.4605	5.0	183.929
2019-06-09T01:55:54.972000Z	160	57.165	-155.3876	67.4	184.509
2019-06-10T18:00:58.676000Z	161	57.3632	-155.5057	78.3	185.188
2019-06-14T10:50:48.013000Z	165	58.9066	-154.6897	136.9	187.516
2019-06-14T21:13:44.453000Z	165	56.6725	-154.9563	16.8	188.123
2019-06-18T04:17:45.415000Z	169	57.1033	-155.4123	65.8	188.335
2019-05-26T10:16:56.425000Z	146	58.5744	-155.2412	139.2	190.284
2019-06-14T21:19:26.872000Z	165	56.657	-155.0198	23.0	192.254
2019-06-08T22:52:54.145000Z	159	57.1623	-155.5263	55.9	192.523
2019-06-02T07:09:02.385000Z	153	57.1359	-155.5351	67.8	194.006
