,code,lat,lon,elev_m
159,3087,57.7368,-152.5144,20.0
160,3088,57.7338,-152.5218,7.0
161,4001,57.7269,-152.5328,0.0
162,4002,57.7224,-152.5445,7.0
163,4003,57.7198,-152.555,6.0
164,4004,57.7166,-152.5608,1.0
165,4005,57.7098,-152.5673,-5.0
166,4006,57.7054,-152.5717,3.0
167,4007,57.7016,-152.578,7.0
168,4008,57.6984,-152.5796,2.0
169,4009,57.6939,-152.578,2.0
170,4010,57.695,-152.5729,-1.0
171,4011,57.6951,-152.5697,-2.0
172,4012,57.696,-152.5653,6.0
173,4013,57.6963,-152.5621,2.0
174,4014,57.6959,-152.5559,4.0
175,4015,57.6952,-152.5532,2.0
176,4018,57.7601,-152.5006,13.0
177,4019,57.7607,-152.4951,4.0
178,4020,57.7628,-152.4895,13.0
179,4021,57.7661,-152.4866,17.0
180,4022,57.7683,-152.4838,0.0
181,4023,57.77,-152.4813,25.0
182,4024,57.7715,-152.4777,34.0
183,4025,57.7725,-152.4727,42.0
184,4026,57.7732,-152.468,49.0
185,4027,57.7734,-152.4635,36.0
186,4028,57.7738,-152.4606,42.0
187,4029,57.7744,-152.4566,48.0
188,4030,57.8286,-152.3662,29.0
189,4031,57.8279,-152.3697,25.0
190,4032,57.826,-152.3727,17.0
191,4033,57.8247,-152.378,26.0
192,4034,57.8234,-152.3815,32.0
193,4035,57.8212,-152.3851,53.0
194,4036,57.8195,-152.3886,59.0
195,4037,57.8167,-152.3932,35.0
196,4038,57.8154,-152.3955,36.0
197,4039,57.8135,-152.3989,43.0
198,4040,57.8115,-152.4024,47.0
199,4041,57.8096,-152.4063,55.0
200,4042,57.8077,-152.4096,73.0
201,4043,57.8061,-152.4141,76.0
202,4044,57.8071,-152.4191,71.0
203,4045,57.8068,-152.4205,66.0
204,4046,57.8058,-152.4252,42.0
205,4047,57.8041,-152.4303,22.0
206,4048,57.807,-152.4332,15.0
207,4049,57.8088,-152.4322,29.0
208,4050,57.8112,-152.4309,31.0
209,4051,57.8154,-152.4294,34.0
210,4052,57.8165,-152.4331,52.0
211,4053,57.8191,-152.4344,67.0
212,4054,57.8218,-152.4344,85.0
213,4055,57.8235,-152.4367,90.0
214,4056,57.8244,-152.4373,81.0
215,4057,57.8277,-152.4387,67.0
216,4058,57.8297,-152.4418,65.0
217,4059,57.8308,-152.4469,57.0
218,4060,57.8334,-152.4483,59.0
219,4061,57.8349,-152.4488,52.0
220,4062,57.8369,-152.4516,31.0
221,9001,57.427594,-152.351562,7.0
222,9002,57.429993,-152.346457,20.0
223,9003,57.432888,-152.345256,46.0
224,9004,57.435117,-152.347248,39.0
225,9005,57.437101,-152.348712,41.0
226,9006,57.437349,-152.351539,28.0
227,9007,57.439,-152.352876,29.0
228,9008,57.44025,-152.354837,49.0
229,9009,57.440554,-152.358046,60.0
230,9010,57.441049,-152.36012,69.0
231,9011,57.441777,-152.363623,69.0
232,9012,57.442446,-152.366227,73.0
233,9013,57.443233,-152.369079,65.0
234,9014,57.443452,-152.371574,74.0
235,9015,57.444468,-152.373706,96.0
236,9016,57.44556,-152.374637,92.0
237,9017,57.448979,-152.373979,84.0
238,9018,57.450934,-152.375128,80.0
239,9019,57.452194,-152.37734,90.0
240,9020,57.445413,-152.390568,78.0
241,9021,57.438266,-152.402564,22.0
242,9022,57.439932,-152.405302,9.0
243,9023,57.439752,-152.409053,20.0
244,9024,57.440031,-152.413047,9.0
245,9025,57.441599,-152.414105,17.0
246,9026,57.441238,-152.417642,29.0
247,9027,57.439964,-152.421827,37.0
248,9028,57.440445,-152.424735,40.0
249,9029,57.441074,-152.426891,35.0
250,9030,57.440894,-152.430775,57.0
251,9031,57.442067,-152.433989,53.0
252,9032,57.443241,-152.435237,56.0
253,9033,57.444729,-152.43663,56.0
254,9034,57.445987,-152.43871,63.0
255,9035,57.447265,-152.44129,77.0
256,9036,57.447444,-152.44302,78.0
257,9037,57.450323,-152.44416,72.0
258,9038,57.45165,-152.445639,60.0
259,9039,57.452549,-152.447792,4.0
260,9040,57.454132,-152.448185,6.0
261,9041,57.457364,-152.449853,5.0
262,9042,57.459025,-152.449578,0.0
263,9043,57.460523,-152.451289,4.0
264,9044,57.46143,-152.453159,0.0
265,9045,57.462508,-152.455226,8.0
266,9046,57.463843,-152.456707,6.0
267,9047,57.465141,-152.457754,0.0
268,9048,57.467798,-152.457232,0.0
269,9049,57.470046,-152.457715,3.0
270,9050,57.473411,-152.456865,6.0
271,9051,57.480061,-152.451263,18.0
272,9052,57.482915,-152.450553,18.0
273,9053,57.484705,-152.45126,14.0
274,9054,57.486865,-152.452078,8.0
275,9055,57.488592,-152.452586,4.0
276,9056,57.492577,-152.453995,2.0
277,9057,57.495356,-152.454587,7.0
278,9058,57.497661,-152.453819,9.0
279,9059,57.499766,-152.452536,13.0
280,9060,57.502083,-152.452317,16.0
281,9061,57.504683,-152.451194,18.0
282,9062,57.507258,-152.450571,33.0
283,9063,57.510494,-152.450906,46.0
284,9064,57.514071,-152.451303,72.0
285,9065,57.51543,-152.4519,100.0
286,9066,57.517092,-152.452042,126.0
287,9067,57.519864,-152.45322,107.0
288,9068,57.521839,-152.452873,104.0
289,9069,57.52401,-152.45431,93.0
290,9070,57.525659,-152.455487,101.0
291,9071,57.52699,-152.455885,106.0
