code,lat,lon,elev_m
LSNW,51.96931,178.51482,264.3
LSPA,51.9557,178.5714,335.0
LSSA,51.9484,178.5112,549.0
LSSE,51.93203,178.56697,308.8
LVA,54.1609,-166.0337,457.0
MAPS,53.808128,-166.94061,333.0
MCIR,53.9505,-166.8942,800.0
MGLS,58.133437,-155.16262,509.0
MGOD,53.793422,-166.878,667.0
MMN,59.1845,-154.3389,442.0
MNAT,53.88291,-166.68574,384.0
MREP,53.8096,-166.7476,785.0
MSOM,53.8154,-166.9385,146.0
MSW,53.914796,-166.788006,423.0
MTBL,53.968,-166.6813,810.0
N20K,61.2001,-152.2089,991.0
N25K,61.6061,-144.5982,1087.0
NCG,61.4031,-152.159,1244.0
NCT,60.5621,-152.9293,1136.0
OKAK,53.4113,-168.36,165.0
OKAS,53.4043,-168.3634,270.0
OKBR,53.41915,-168.07471,452.0
OKCB,53.4559,-168.1257,404.0
OKCD,53.4293,-168.1143,459.0
OKCE,53.4261,-168.16629,516.0
OKCF,53.3948,-168.1382,685.0
OKER,53.4536,-168.0513,956.0
OKFG,53.41078,-167.91141,196.0
OKID,53.4764,-167.8182,437.0
OKIF,53.410298,-167.914317,218.4
OKNC,53.4559,-168.12553,404.0
OKNO,53.52769,-168.09396,460.9
OKRE,53.5192,-168.1661,422.0
OKSO,53.3565,-168.1619,460.0
OKSP,53.2516,-168.2925,608.0
OKTU,53.3829,-168.0431,646.0
OKWE,53.4711,-168.2418,445.0
OKWR,53.4337,-168.2076,1017.0
OPT,59.6526,-153.2321,602.0
P18K,59.3922,-155.2292,680.0
P19K,59.6524,-153.2319,629.0
PDB,59.7841,-154.1917,360.0
PLBL,57.6991,-156.821,461.0
PLK1,57.8012,-156.6093,78.0
PLK2,57.7634,-156.3264,401.0
PLK3,57.688,-156.2695,494.0
PLK4,57.6314,-156.3598,1031.0
PLK5,57.997,-156.88,49.0
PLWL,58.0442,-156.3434,585.0
PN7A,55.4329,-161.9973,838.0
PS1A,55.42002,-161.74385,283.5
PS4A,55.34597,-161.85651,329.8
PTHD,56.95167,-158.65016,18.97
PV6,55.4528,-161.9205,747.0
PV6A,55.507,-161.9714,352.0
PVV,55.37316,-161.79199,165.8
Q17K,58.2637,-155.8865,1165.0
Q18K,58.6484,-155.0086,1250.0
Q20K,58.6097,-152.3942,180.0
R17L,57.6313,-156.3599,524.0
RD01,60.4885,-152.7031,1831.0
